Title,Company,Expereince,Salary,Location,Qualification,Posted
Bpm Consultant- Pan India,Tech Mahindra,3-8 Yrs,Not disclosed,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", We are looking for BPM Consultant- Pan India The incumbent will be responsible for the ...,1 Day Ago
"Tech Mahindra is hiring For ""ETL Lead""",Tech Mahindra,10-20 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", Kindly go through the below JD & please apply on the google link https://forms.gle/BN1R...,1 Day Ago
Hiring For Site Reliability Engineer- Pan India,Tech Mahindra,8-13 Yrs,11-21 Lacs PA,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Maharashtra, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", Experience with designing and measuring service level indicators (SLIs) and objectives ...,2 Days Ago
Scrum Master,Wipro,10-16 Yrs,Not disclosed,"Noida, Uttar Pradesh, Kolkata, Hyderabad/ Secunderabad, Telangana, Pune, Maharashtra, Gurgaon/ Gurugram, Haryana, Chennai, Tamil Nadu, Bangalore/Bengaluru, Mumbai (All Areas)", Preparing and presenting status reports to stakeholders. Scrum Master Requirements: . B...,2 Days Ago
SAP FICO with Treasury _ Tech M_ PAN India,Tech Mahindra,7-12 Yrs,25-30 Lacs PA,"Hybrid - Noida, Uttar Pradesh, Hyderabad/ Secunderabad, Telangana, Pune, Maharashtra, Gurgaon/ Gurugram, Haryana, Chennai, Tamil Nadu, Bangalore/Bengaluru, Mumbai (All Areas)", Must Have: Years of Experience: 7+ YearsShould have knowledge in Automatic Payment Prog...,1 Day Ago
Java Full Stack Developer_ Tech Mahindra_ PAN India,Tech Mahindra,7-12 Yrs,27.5-30 Lacs PA,"Hybrid - Noida, Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Gurgaon/Gurugram, Bangalore/Bengaluru, Mumbai (All Areas)", Must Have: Years of Experience: 7+ YearsGood communication skills to ask clarifying que...,2 Days Ago
Probationary Officers' Programme,ICICI Bank,0-5 Yrs,4.25-4.5 Lacs PA,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"," Term II - 2 months . Start your Internship at ICICI Bank Branch, where you will get to ...",2 Days Ago
"Pega Developer, Leads, Architects || PAN India || 5-Aug drive",HCLTech,4-9 Yrs,Not disclosed,"Hybrid - Noida, Uttar Pradesh, Hyderabad/ Secunderabad, Telangana, Pune, Maharashtra, Gurgaon/ Gurugram, Haryana, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka, Delhi / NCR, Mumbai (All Areas)"," ""Pega CSSA Certification is must for developer and LSA Certification is mandate for arc...",5 Days Ago
Digital UX Lead (Figma) _ Tech M (PAN India),Tech Mahindra,5-10 Yrs,15-20 Lacs PA,"Hybrid - Noida, Uttar Pradesh, Hyderabad/ Secunderabad, Telangana, Pune, Maharashtra, Gurgaon/ Gurugram, Haryana, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka, Mumbai (All Areas)", Experience working in a collaborative team and working directly with developers for imp...,2 Days Ago
Perl Developer,Tech Mahindra,5-10 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Ahmedabad, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", Must have telecom backgroundExperience: 5-10 years . Good understanding on Unix command...,5 Days Ago
"HCL Hiring Tibco BW 5.x , 6.x Development & Support || Aug-5",HCLTech,5-10 Yrs,Not disclosed,"Hybrid - Noida, Uttar Pradesh, Hyderabad/ Secunderabad, Telangana, Pune, Gurgaon/ Gurugram, Haryana, Chennai, Bangalore/ Bengaluru, Karnataka, Delhi / NCR, Mumbai (All Areas)", Name : Email ID : Ph.No : Total Exp : Rel Exp : Current Company (Payroll) : Current Loc...,7 Days Ago
Sr. Java Full Stack Developer_ Tech Mahindra_ PAN India,Tech Mahindra,7-11 Yrs,25-30 Lacs PA,"Hybrid - Noida, Uttar Pradesh, Hyderabad/Secunderabad, Pune, Gurgaon/ Gurugram, Haryana, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)", Must Have: Years of Experience: 7+ Years Min 2 + years Angular framework experienceExpe...,2 Days Ago
Sr. Angular Developer,Wipro,6-10 Yrs,7-14 Lacs PA,"New Delhi, Delhi, Hyderabad/Secunderabad, Pune, Maharashtra, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)", Requirements: Bachelors degree in Computer Science or a related field (or equivalent wo...,3 Days Ago
Sap Abap Consultant,Wipro,7-12 Yrs,Not disclosed,"Hybrid - Bhubaneswar, Odisha, Hyderabad/Secunderabad, Pune, Maharashtra, Chennai, Bangalore/ Bengaluru, Karnataka, Mumbai (All Areas)", Minimum relevant 7+years of experience required in SAP ABAP. . Odata experience is mand...,4 Days Ago
Birlasoft is hiring Generative AI Lead/Architect,Birlasoft,8-13 Yrs,Not disclosed,"Noida, Mumbai, Pune, Bangalore/Bengaluru", Interested candidates please share your resume with geetanjalisatpathy@birlasoft.com al...,2 Days Ago
Azure Data Factory Developer -ADF,Hexaware Technologies,4-7 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka, Mumbai (All Areas)"," Preferred candidate profile . Bachelors or masters degree in computer science, engineer...",4 Days Ago
Rpa Project Manager UiPath,Wipro,10-15 Yrs,Not disclosed,"Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)", Shift Time - 2 or 3rd shift as client based out of US & CanadaCandidate must have handl...,2 Days Ago
Matillion and Snowflake Developer with Hexaware!!!,Hexaware Technologies,3-6 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)", Experience with cloud platform data warehouse technologies like Snowflake is a plusMini...,2 Days Ago
Job Opportunity For AWS Datalake with Hexaware!!!,Hexaware Technologies,5-10 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)", Role & responsibilities Job Description: Primary focus is on AWS + Date Lake Developmen...,4 Days Ago
IT Technologist,Medtronic,3-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Able to work independently as well as cooperatively . CISSP Certification . Typically p...,9 Days Ago
NEVA- NICE Developer,Cognizant,4-9 Yrs,Not disclosed,"Hybrid - Noida, Uttar Pradesh, Mumbai, Maharashtra, Hyderabad/Secunderabad, Pune, Gurgaon/ Gurugram, Haryana, Chennai, Bangalore/Bengaluru, Delhi / NCR"," Bachelors degree, or equivalent work experience Preferred Skills / Experience Seven to ...",1 Day Ago
CN - Retail - SAP Platforms - Consultant,Accenture,2-7 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru, Delhi / NCR", Be responsible for integration with different ERP Solutions including SAP and create pr...,2 Days Ago
SAP Vendor Invoice Management Application Lead,Accenture,4-6 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru", Educational Qualification : a: Bachelors Degree in engineering or Science Additional In...,1 Day Ago
SAP Ariba Cloud Integration Gateway CIG Application Lead,Accenture,4-6 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru", Educational Qualification : a: Bachelors Degree in engineering or Science Technical Exp...,1 Day Ago
SAP Vendor Invoice Management Application Lead,Accenture,4-6 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru", Educational Qualification : a: Bachelors Degree in engineering or Science Additional In...,1 Day Ago
SAP Ariba Cloud Integration Gateway CIG Application Lead,Accenture,4-6 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru", Educational Qualification : a: Bachelors Degree in engineering or Science Technical Exp...,1 Day Ago
SAP Vendor Invoice Management Application Lead,Accenture,2-4 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru", Technical Experience : a: Must have 3-4 years of experience in SAP VIMb: Must have done...,1 Day Ago
